
	--==[ SPLAT! v1.4.2 Site Analysis Report For: KWGN-TV ]==--

---------------------------------------------------------------------------

Site location: 39.7328 North / 105.2361 West (39° 43' 57" N / 105° 14' 10" W)
Ground elevation: 2207.00 meters AMSL
Antenna height: 122.00 meters AGL / 2329.00 meters AMSL
Antenna height above average terrain: 305.24 meters

Average terrain at 101 degrees azimuth: 1733.94 meters AMSL
Average terrain at 102 degrees azimuth: 1737.31 meters AMSL
Average terrain at 103 degrees azimuth: 1740.07 meters AMSL
Average terrain at 104 degrees azimuth: 1743.17 meters AMSL
Average terrain at 105 degrees azimuth: 1747.27 meters AMSL
Average terrain at 106 degrees azimuth: 1751.89 meters AMSL
Average terrain at 107 degrees azimuth: 1755.78 meters AMSL
Average terrain at 108 degrees azimuth: 1757.92 meters AMSL
Average terrain at 109 degrees azimuth: 1759.98 meters AMSL
Average terrain at 110 degrees azimuth: 1762.33 meters AMSL
Average terrain at 111 degrees azimuth: 1765.68 meters AMSL
Average terrain at 112 degrees azimuth: 1770.47 meters AMSL
Average terrain at 113 degrees azimuth: 1775.41 meters AMSL
Average terrain at 114 degrees azimuth: 1781.42 meters AMSL
Average terrain at 115 degrees azimuth: 1787.85 meters AMSL
Average terrain at 116 degrees azimuth: 1794.96 meters AMSL
Average terrain at 117 degrees azimuth: 1799.29 meters AMSL
Average terrain at 118 degrees azimuth: 1803.40 meters AMSL
Average terrain at 119 degrees azimuth: 1806.67 meters AMSL
Average terrain at 120 degrees azimuth: 1810.49 meters AMSL
Average terrain at 121 degrees azimuth: 1814.35 meters AMSL
Average terrain at 122 degrees azimuth: 1817.82 meters AMSL
Average terrain at 123 degrees azimuth: 1818.65 meters AMSL
Average terrain at 124 degrees azimuth: 1820.47 meters AMSL
Average terrain at 125 degrees azimuth: 1818.75 meters AMSL
Average terrain at 126 degrees azimuth: 1816.09 meters AMSL
Average terrain at 127 degrees azimuth: 1816.60 meters AMSL
Average terrain at 128 degrees azimuth: 1812.48 meters AMSL
Average terrain at 129 degrees azimuth: 1806.75 meters AMSL
Average terrain at 130 degrees azimuth: 1804.32 meters AMSL
Average terrain at 131 degrees azimuth: 1802.15 meters AMSL
Average terrain at 132 degrees azimuth: 1800.19 meters AMSL
Average terrain at 133 degrees azimuth: 1796.57 meters AMSL
Average terrain at 134 degrees azimuth: 1793.14 meters AMSL
Average terrain at 135 degrees azimuth: 1792.22 meters AMSL
Average terrain at 136 degrees azimuth: 1792.99 meters AMSL
Average terrain at 137 degrees azimuth: 1790.80 meters AMSL
Average terrain at 138 degrees azimuth: 1790.77 meters AMSL
Average terrain at 139 degrees azimuth: 1790.38 meters AMSL
Average terrain at 140 degrees azimuth: 1788.51 meters AMSL
Average terrain at 141 degrees azimuth: 1789.86 meters AMSL
Average terrain at 142 degrees azimuth: 1793.99 meters AMSL
Average terrain at 143 degrees azimuth: 1797.34 meters AMSL
Average terrain at 144 degrees azimuth: 1801.21 meters AMSL
Average terrain at 145 degrees azimuth: 1806.00 meters AMSL
Average terrain at 146 degrees azimuth: 1809.91 meters AMSL
Average terrain at 147 degrees azimuth: 1812.76 meters AMSL
Average terrain at 148 degrees azimuth: 1818.43 meters AMSL
Average terrain at 149 degrees azimuth: 1820.26 meters AMSL
Average terrain at 150 degrees azimuth: 1822.67 meters AMSL
Average terrain at 151 degrees azimuth: 1828.67 meters AMSL
Average terrain at 152 degrees azimuth: 1838.74 meters AMSL
Average terrain at 153 degrees azimuth: 1857.38 meters AMSL
Average terrain at 154 degrees azimuth: 1874.27 meters AMSL
Average terrain at 155 degrees azimuth: 1892.54 meters AMSL
Average terrain at 156 degrees azimuth: 1890.22 meters AMSL
Average terrain at 157 degrees azimuth: 1894.00 meters AMSL
Average terrain at 158 degrees azimuth: 1896.53 meters AMSL
Average terrain at 159 degrees azimuth: 1905.68 meters AMSL
Average terrain at 160 degrees azimuth: 1919.35 meters AMSL
Average terrain at 161 degrees azimuth: 1934.54 meters AMSL
Average terrain at 162 degrees azimuth: 1949.33 meters AMSL
Average terrain at 163 degrees azimuth: 1974.65 meters AMSL
Average terrain at 164 degrees azimuth: 2008.97 meters AMSL
Average terrain at 165 degrees azimuth: 2045.17 meters AMSL
Average terrain at 166 degrees azimuth: 2076.43 meters AMSL
Average terrain at 167 degrees azimuth: 2103.82 meters AMSL
Average terrain at 168 degrees azimuth: 2122.37 meters AMSL
Average terrain at 169 degrees azimuth: 2142.55 meters AMSL
Average terrain at 170 degrees azimuth: 2149.86 meters AMSL
Average terrain at 171 degrees azimuth: 2169.24 meters AMSL
Average terrain at 172 degrees azimuth: 2169.82 meters AMSL
Average terrain at 173 degrees azimuth: 2151.99 meters AMSL
Average terrain at 174 degrees azimuth: 2149.94 meters AMSL
Average terrain at 175 degrees azimuth: 2144.20 meters AMSL
Average terrain at 176 degrees azimuth: 2149.01 meters AMSL
Average terrain at 177 degrees azimuth: 2159.40 meters AMSL
Average terrain at 178 degrees azimuth: 2163.44 meters AMSL
Average terrain at 179 degrees azimuth: 2172.42 meters AMSL
Average terrain at 180 degrees azimuth: 2174.18 meters AMSL
Average terrain at 181 degrees azimuth: 2183.92 meters AMSL
