
	--==[ SPLAT! v1.4.2 Site Analysis Report For: KQCA ]==--
Average terrain at 104 degrees azimuth: 5.15 meters AMSL
Average terrain at 105 degrees azimuth: 5.33 meters AMSL
Average terrain at 106 degrees azimuth: 5.37 meters AMSL
Average terrain at 107 degrees azimuth: 5.13 meters AMSL
Average terrain at 108 degrees azimuth: 5.33 meters AMSL
Average terrain at 109 degrees azimuth: 5.31 meters AMSL
Average terrain at 110 degrees azimuth: 5.20 meters AMSL
Average terrain at 111 degrees azimuth: 5.01 meters AMSL
Average terrain at 112 degrees azimuth: 4.88 meters AMSL
Average terrain at 113 degrees azimuth: 4.69 meters AMSL
Average terrain at 114 degrees azimuth: 4.60 meters AMSL
Average terrain at 115 degrees azimuth: 4.69 meters AMSL
Average terrain at 116 degrees azimuth: 4.78 meters AMSL
Average terrain at 117 degrees azimuth: 4.61 meters AMSL
Average terrain at 118 degrees azimuth: 4.59 meters AMSL
Average terrain at 119 degrees azimuth: 4.46 meters AMSL
Average terrain at 120 degrees azimuth: 4.50 meters AMSL
Average terrain at 121 degrees azimuth: 4.41 meters AMSL
Average terrain at 122 degrees azimuth: 4.42 meters AMSL
Average terrain at 123 degrees azimuth: 4.54 meters AMSL
Average terrain at 124 degrees azimuth: 4.60 meters AMSL
Average terrain at 125 degrees azimuth: 4.53 meters AMSL
Average terrain at 126 degrees azimuth: 4.39 meters AMSL
Average terrain at 127 degrees azimuth: 4.22 meters AMSL
Average terrain at 128 degrees azimuth: 3.99 meters AMSL
Average terrain at 129 degrees azimuth: 3.88 meters AMSL
Average terrain at 130 degrees azimuth: 3.79 meters AMSL
Average terrain at 131 degrees azimuth: 3.66 meters AMSL
Average terrain at 132 degrees azimuth: 3.63 meters AMSL
Average terrain at 133 degrees azimuth: 3.53 meters AMSL
Average terrain at 134 degrees azimuth: 3.39 meters AMSL
Average terrain at 135 degrees azimuth: 3.26 meters AMSL
Average terrain at 136 degrees azimuth: 3.13 meters AMSL
Average terrain at 137 degrees azimuth: 3.01 meters AMSL
Average terrain at 138 degrees azimuth: 2.85 meters AMSL
Average terrain at 139 degrees azimuth: 2.69 meters AMSL
Average terrain at 140 degrees azimuth: 2.63 meters AMSL
Average terrain at 141 degrees azimuth: 2.52 meters AMSL
Average terrain at 142 degrees azimuth: 2.43 meters AMSL
Average terrain at 143 degrees azimuth: 2.37 meters AMSL
Average terrain at 144 degrees azimuth: 2.18 meters AMSL
Average terrain at 145 degrees azimuth: 2.09 meters AMSL
Average terrain at 146 degrees azimuth: 1.99 meters AMSL
Average terrain at 147 degrees azimuth: 1.80 meters AMSL
Average terrain at 148 degrees azimuth: 1.69 meters AMSL
Average terrain at 149 degrees azimuth: 1.61 meters AMSL
Average terrain at 150 degrees azimuth: 1.50 meters AMSL
Average terrain at 151 degrees azimuth: 1.33 meters AMSL
